identifier,name,description,category,school,color,condition,effectRule,cost,sourceKeyword,unlockCondition,chapterMin,weight,price
rune_lastHope,最后希望,死亡时复活1次（HP=1），此后护盾获取无效,special,,yellow,触发式,玩家HP归零时触发：取消死亡→HP=1→获得1回合无敌。但此后永久，所有来源的护盾获取量为0（已有护盾保留但不再增加）。触发后符文效果变为'护盾获取无效'，不再提供复活。「一次机会——用完就没有退路了。」,120,,,2,4,120
rune_glassCannon,玻璃大炮,伤害+100%，HP固定为1,special,,yellow,,所有音波伤害×2.0。玩家最大HP变为1，且任何HP上限增加效果无效化。受到任何伤害立即死亡（除非有无敌/复活）。「一触即碎，一击必杀。」,100,,,1,4,100
rune_cleanSweep,清道夫,非Boss战斗伤害+40%，Boss战伤害-20%,special,,yellow,战斗类型判定,阶段二伤害结算时判定当前战斗类型：非Boss战斗→伤害×1.4。Boss战斗→伤害×0.8。关卡类型判定在战斗开始时已确定，中途不变。「杂兵再多也不怕——但真正的挑战在后头。」,70,,,1,5,70
rune_vengeance,复仇,每被怪物攻击一次永久+1攻击力，每场战斗后永久-1最大HP,special,,yellow,,阶段五怪物对玩家造成伤害时（自爆/技能等），复仇计数器+1→所有音波基础攻击力永久+1。阶段六战斗胜利后→玩家最大HP永久-1（不低于1）。复仇计数器跨战斗保留。,110,,,2,4,110
rune_gambler,赌徒,暴击率+30%，非暴击时伤害-30%,special,,yellow,,所有音波攻击暴击率+30%（可与词条暴击率叠加，上限90%）。但未触发暴击的音波伤害降低30%。'要么赢大的，要么血本无归。',90,,,1,5,90
rune_shadowStrike,暗影突袭,每回合首次消除若命中怪物，额外造成3点伤害,special,,yellow,每回合首次命中,阶段二伤害结算时判定：本回合第1道命中怪物的音波→额外附加3点固定伤害（不受任何加成）。后续音波无额外伤害。鼓励每回合至少命中一次，惩罚空回合。'一击必中，一击必杀。',80,,,1,5,80
rune_dragonSlayer,屠龙者,对Boss伤害+50%，非Boss战斗金币-50%,event,,red,,阶段二伤害结算时：若当前战斗为Boss战→全伤害×1.5。所有非Boss战斗的金币奖励减半。'真正的奖赏只在王座之上。',130,,本局击败过2个Boss后入池,2,4,130
rune_toxicBloom,毒华绽放,每回合对所有怪物叠加1层中毒，玩家每回合扣1HP,event,,red,,阶段六回合收尾时：场上所有怪物获得1层中毒（每层每回合扣1HP，不限上限）。同时玩家扣除1HP（无视护盾，不触发受击类效果）。'毒藤缠绕敌人，也缠绕自己。',110,,玩家受到过中毒伤害后入池,1,4,110
rune_summonPact,召唤契约,每只召唤物死亡时回复1HP，召唤物上限-3,event,,red,,任意阶段召唤物死亡时（不限原因）→玩家立即回复1HP。死亡回复无视HP上限可溢出为护盾（溢出量=回复量×0.5）。但场上召唤物数量上限从6减为3。'以命换命——它们为你而死，你因它们而生。',100,,本局累计死亡3只以上召唤物后入池,0,5,100
rune_immortal,不死之身,HP归零时不死亡（每局1次），触发后符文销毁,event,,red,,玩家HP归零时触发：不死→清除所有负面状态→HP回复至50%→无敌1回合。触发后该符文永久销毁，释放符文格（不占格，可再获取新符文）。'一次不死，但只有一次。',150,,本局HP降到1以下后入池,2,3,150
rune_merchantFriend,商人之友,所有商品价格-30%，每购买1次后价格回升1%,event,,red,,商店中所有商品（词条/符文/升级）基础价格降低30%。但每次在任意商店完成购买后，折扣减少1%（30%→29%...直到0%），即价格逐步回升。'朋友归朋友，生意归生意。',60,,本局访问5次以上商店后入池,0,5,60
rune_rainbow,彩虹连线,允许不同色音符混连，但伤害-30%,event,,red,,阶段一连线判定规则改写：允许相邻但颜色不同的音符参与同一次连线。连线中至少保留当前颜色的音符≥1个。消除判定不变。但阶段二音波伤害×0.7。'当界限消失，一切都变得可能——但也变得平庸。',90,,本局使用过音色转换类词条后入池,1,4,90
rune_bossReversal,命运共振,Boss战时玩家伤害+30%，Boss伤害也+30%,event,,red,,Boss战斗全局效果：阶段二玩家音波伤害×1.3。阶段五Boss技能/自爆伤害×1.3。双方同时变强，考验操作而非数值。'剑更锋利，盾更薄弱——公平对决。',100,,本局无伤击杀过Boss后入池,2,4,100
rune_emptyGrace,空灵之舞,空格数量≥5时每回合获得1层护盾，空格<3时失去1HP,event,,red,空格≥5,阶段六回合收尾时判定场上空格数量：≥5→获得1层护盾。≤2→失去1HP（无视护盾）。3-4空格无效果。鼓励维持大量空格，惩罚格子太满。'空白不是缺失——是呼吸。',80,,本局棋盘空格≥8时触发入池,1,5,80
