identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
atk_berserk,狂战士,HP≤3时伤害+{0}%,atk_berserk,强攻,"阶段二伤害结算时，若玩家生命值≤3，所有伤害额外提升{0}%。陷阵之志，置之死地而后生。",red,,40|65|90,3,1,4,4,6,atk_comboStrike,2,0,0
atk_ambush,伏击,新入场怪物+{0}%伤害,atk_ambush,强攻,"阶段二伤害结算时，对刚在本回合入场的怪物造成额外{0}%伤害。堵门打法，不让怪物站稳脚跟。",red,,30|50,2,1,4,4,6,atk_huntersMark,2,0,0
atk_gridMaster,格王,消除≥7格时+{0}%伤害,atk_gridMaster,强攻,"阶段二伤害结算时，若单次消除格数≥7，该次音波攻击伤害额外提升{0}%。追求完美连线，大消除收益翻倍。",red,,30|50|70,3,1,4,4,6,atk_columnRage,2,0,0
atk_bossBreaker,破王,BOSS生命<50%时+{0}%伤害,atk_bossBreaker,强攻,"阶段二伤害结算时，对生命值低于50%的BOSS额外造成{0}%伤害。乘胜追击，大幅压缩BOSS斩杀线。",red,,30|50|70,3,1,4,4,6,atk_giantSlayer,2,0,0
atk_backstab,背袭,后排怪物+{0}%伤害,atk_backstab,强攻,"阶段二伤害结算时，对距离玩家最远的怪物（最后一排/刚入场）造成额外{0}%伤害。远程狙击后排，防止怪物堆积。",red,,35|60,2,1,4,4,6,atk_siegeBreaker,2,0,0
atk_execution,处决,斩杀HP<20%+{0}%伤害,atk_execution,强攻,"阶段二伤害结算时，对生命值低于20%的怪物，本次攻击伤害额外提升{0}%且无视护甲。精准收割，不给残血任何机会。",red,,80|120|160,3,1,5,5,5,atk_lethalStrike,2,0,0
atk_resonance,共鸣扩散,溅射范围+{0}格,atk_resonance,强攻,"阶段二伤害结算时，溅射伤害覆盖范围额外扩大{0}格。配合音浪冲击词条，逐步实现全屏火力覆盖。",red,,1|2,2,1,5,5,5,atk_soundWave,2,0,0
atk_weaknessExploit,弱点打击,破甲怪物+{0}%伤害,atk_weaknessExploit,强攻,"阶段二伤害结算时，对护甲已被降低的怪物额外造成{0}%伤害。配合碎甲词条形成连环破防，伤害层层递进。",red,,30|55,2,1,5,5,5,atk_ambush,2,0,0
atk_monarchBane,君王克星,BOSS受伤额外+{0}%,atk_monarchBane,强攻,"阶段二伤害结算时，对BOSS的所有伤害额外提升{0}%，可与巨人猎手、破王效果叠加。BOSS的终极噩梦。",red,,20|35|50,3,1,5,5,5,atk_bossBreaker,2,0,0
atk_armorBreak,破甲,暴击额外无视{0}%护甲,atk_armorBreak,强攻,"阶段二伤害结算时，暴击攻击额外忽略目标{0}%护甲。配合暴击流与碎甲词条，刀刀见肉毫不留情。",red,,25|45,2,1,5,5,5,atk_shatterArmor,2,0,0
atk_overkill,过载,溢出伤害溅射{0}%,atk_overkill,强攻,"阶段二伤害结算时，若伤害超过目标剩余血量，溢出部分的{0}%以真实伤害溅射到相邻怪物。不浪费一丝一毫输出。",red,,50|80,2,1,5,5,4,atk_execution,2,0,0
atk_finalBlow,终结一击,斩杀线+10%且增伤{0}%,atk_finalBlow,强攻,"阶段二伤害结算时，处决触发阈值提升至30%生命值，且对斩杀目标额外造成{0}%伤害。更快进入收割节奏。",red,,50|100,2,1,5,5,4,atk_execution,3,0,0
atk_colorSurge,色潮,纯色消除+{0}%伤害,atk_colorSurge,强攻,"阶段二伤害结算时，若本回合所有消除均为同一颜色音符，最终伤害额外提升{0}%。纯色流终极形态，专精即是力量。",red,,40|70,2,1,5,5,5,atk_berserk,2,0,0
atk_tyrantEnd,暴君终末,BOSS生命<30%时必暴+{0}%伤害,atk_tyrantEnd,强攻,"阶段二伤害结算时，对生命值低于30%的BOSS，所有攻击必定暴击且伤害额外提升{0}%。暴君末路，一击终焉。",red,,60|100,2,1,5,5,4,atk_monarchBane,3,0,0
atk_doomsday,末日审判,消除≥15格+{0}%伤害,atk_doomsday,强攻,"阶段二伤害结算时，若本回合累计消除格数≥15，最终伤害翻倍并额外获得{0}%伤害加成。极限操作的终极回报。",red,,20|40,2,1,5,5,3,atk_overkill,2,0,0
