identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
enchantAlly,附魔音符,精灵赋予额外效果(穿透/减速/双倍攻速三选一)。持续整场战斗,enchantAlly,召唤,选择一只精灵赋予额外效果(三选一):穿透(音波可穿透1个敌人)/减速(击中怪物后该怪物下回合speed减半)/双倍攻速(阶段四时该精灵攻击两次)。效果持续整场战斗。每只精灵最多附魔一次。,blue,,,,1,4,4,3,spawnAlly,5,,0
stunChord,迷幻和弦,召唤一只不攻击的精灵。同列怪物每回合{0}%概率原地停滞不移动,stunChord,召唤|控制,"召唤不攻击的精灵占据1格。阶段五怪物行动前:同列每只非BOSS怪物独立判定{0}%概率本回合不移动。多只迷幻和弦同列概率叠加,上限60%。BOSS不受影响,精英生效。精灵1血可被碰撞死亡。",blue,,20|30,2,1,3,3,4,spawnAlly,4,,0
summon_guardianShield,守护之盾,召唤物获得{0}层护盾 可抵挡怪物碰撞,summon_guardianShield,召唤,守护之壁的进阶强化。生成召唤物时，为其附加{0}层「护盾」效果——每层护盾可抵挡一次来自怪物的碰撞伤害，护盾抵消碰撞后召唤物存活且护盾层数-1。触发时机：阶段三自动技能/阶段四生成召唤物时立即附加。注意：护盾仅抵挡怪物碰撞，不抵挡其他来源的伤害（如自爆/技能）。「真正的战士不靠数量，靠的是永不破碎的意志。」,blue,,1|2,2,1,4,4,7,restWall,2,0,0
summon_lastStand,背水一战,场上召唤物≤{0}只时 每只攻击力翻倍,summon_lastStand,召唤,绝地求生的力量。阶段四召唤物攻击前进行全局判定：若场上存活召唤物数量≤{0}只，本回合每只召唤物的基础攻击力×2。此翻倍效果先于其他攻击力增益计算（先翻倍再叠加），使残局中的少量召唤物爆发出惊人伤害。触发时机：阶段四开始/召唤物攻击前判定。若召唤物数量超过阈值则不触发。「当身后再无退路，手中的剑便重若千钧。」,blue,,2|1,2,1,4,4,7,surviveEliminate,2,0,0
summon_arrowRain,箭雨风暴,召唤物攻击命中目标及相邻{0}格怪物,summon_arrowRain,召唤,召唤物的音波攻击不再局限于单体——攻击主目标时，音波同时波及目标上下相邻{0}格内的其他怪物，造成等额伤害。触发时机：阶段四召唤物攻击时，先确定主目标→扫描相邻格怪物→分别结算伤害。若相邻格无怪物则不额外触发。伤害不受衰减，每个被波及怪物的伤害等同主目标伤害。「一支箭射不穿城墙，但一场箭雨可以淹没整片战场。」,red,,1|2,2,1,4,4,6,summonVolley,2,0,0
summon_resonanceChain,共鸣连锁,连线消除时 触发{0}只召唤物追击连线方向怪物,summon_resonanceChain,召唤,连线即是信号。阶段一玩家完成连线消除并松开右键→阶段二伤害结算完毕→从场上随机选择{0}只存活召唤物，令其对连线方向上最近的怪物发动一次额外追击攻击（伤害等同该召唤物普通攻击）。触发时机：阶段二尾声，伤害结算之后、阶段三自动技能之前。若场上无怪物或无线索方向怪物则不触发。每只被选中的召唤物独立判定目标。「音符相连成曲，召唤物闻声而动。」,red,,1|2,2,1,4,4,6,chainConnect,2,0,0
summon_lineBreaker,破阵先锋,召唤物攻击无视目标{0}点护甲,summon_lineBreaker,召唤,锋刃所至，无坚不摧。阶段四召唤物攻击时，计算伤害前先扣除目标怪物的{0}点护甲值（护甲归零为止，不产生负值穿透）。仅对召唤物攻击生效，不影响玩家的音波攻击。对有护甲怪物效果显著，对无护甲怪物无额外收益。触发时机：阶段四召唤物攻击时，伤害计算前判定。「盾牌再厚，也挡不住从内部迸发的力量。」,red,,1|2,2,1,3,3,5,columnClear,2,0,0
summon_offeringRite,献祭仪式,献祭召唤物后返还{0}个召唤位上限,summon_offeringRite,召唤,献祭既是终结，也是新生。通过牺牲爆发或任何献祭类技能主动销毁召唤物后→阶段三自动技能阶段→返还{0}个召唤位上限（不超过初始上限6）。这意味着你可以立即在空出的位置上重新召唤盟友，形成献祭-返还-再召唤的循环。触发时机：阶段三，献祭/销毁类技能结算完成后。注意：仅返还上限，不自动生成召唤物。「每一次告别都是下一次重逢的序曲。」,yellow,,1|2,2,1,3,3,5,sacrificeBurst,2,0,0
summon_cleanseHymn,净化圣歌,回合收尾时 每只存活召唤物有{0}%概率净化一个负面状态,summon_cleanseHymn,召唤,纯净的钟声仍在回响。阶段六回合收尾时，遍历场上每只存活召唤物→各自以{0}%的概率触发净化→随机移除玩家身上的一个负面状态（眩晕/减速/中毒/诅咒/破甲等）。多只召唤物独立判定，可叠加触发——6只满编时理论最多可净化6个状态。触发时机：阶段六回合收尾阶段。与净化铃铛的即刻净化不同，圣歌在回合末尾徐徐生效。「钟声所及之处，阴霾无所遁形。」,yellow,,30|50,2,1,3,3,5,purifyBell,2,0,0
summon_blessingAura,祝福光环,相邻召唤物互相获得+{0}攻击力,summon_blessingAura,召唤,并肩作战的力量源于信任。阶段四召唤物攻击前，为每只召唤物计算其相邻格（上下左右共四格）的召唤物数量→每有一只相邻召唤物，该召唤物获得+{0}攻击力加成。此加成在攻击结算后清除，不跨回合保留。最佳布阵策略：将召唤物紧密排列以获得最大加成。触发时机：阶段四攻击前计算并应用，攻击后清除。「你不是一个人在战斗——身边的战友就是你最强的武器。」,yellow,,1|2,2,1,3,3,5,enchantAlly,2,0,0
summon_paralyzeEcho,麻痹回响,召唤物攻击使命中怪物减速{0}回合,summon_paralyzeEcho,召唤,眩晕之后是更持久的麻痹。阶段四召唤物攻击命中怪物后→为目标附加「减速」状态→效果持续{0}回合→受影响的怪物在阶段五移动时移动格数减半（向下取整，最低移动1格）。减速可与眩晕同时存在，眩晕解除后减速仍继续生效。多个减速效果取最大值而非叠加。触发时机：阶段四攻击命中时附加debuff→阶段五怪物移动时生效→每回合结束计数器-1。「让它们的步伐慢下来——慢到我们能看清每一次攻击的轨迹。」,green,,1|2,2,1,3,3,5,stunChord,2,0,0
summon_martyrSoul,殉道之魂,召唤物死亡时对全场怪物造成{0}点伤害,summon_martyrSoul,召唤,死亡不是终点，是最后一次绽放。当召唤物因任意原因死亡（怪物碰撞/献祭/替换/自毁/hp归零）时→立即对场上所有存活怪物各造成{0}点音波伤害。此伤害在死亡逻辑执行期间同步结算，不受当前阶段限制——即使在阶段五怪物移动中碰撞死亡，也会立即触发伤害。与殉爆的线性伤害不同，殉道之魂覆盖全场。「用生命谱写的最后一个音符，往往最为嘹亮。」,red,,1|2,2,1,4,4,6,deathExplode,2,0,0
summon_growthSurge,成长浪潮,每消除{0}个瓦片 召唤物本回合攻击力+1,summon_growthSurge,召唤,棋盘的每一次震动都在滋养它们。阶段二伤害结算时→统计本回合所有连线消除涉及的瓦片总数→每{0}个瓦片为所有召唤物提供+1攻击力（向下取整，不足{0}不计入）→加成在阶段四攻击时生效→回合结束后自动重置。大规模消除的回合可让召唤物攻击力暴涨。触发时机：阶段二结算时叠加→阶段四生效→阶段六清除。「它们从音符中汲取力量，就像树从土壤中汲取养分。」,green,,5|3,2,1,4,4,6,scaleWithTiles,2,0,0
summon_thunderClap,雷霆一击,召唤物攻击有{0}%概率造成1.5倍暴击,summon_thunderClap,召唤,箭雨之中，总有一道闪电穿透云层。阶段四每只召唤物攻击时→独立判定暴击概率{0}%→暴击时本次伤害×1.5→可与穿透护甲、攻击力加成等效果叠加（乘法计算，暴击×穿透×加成=最终伤害）。暴击成功时播放特殊闪光动画提示。6只召唤物都有概率触发暴击，脸好时一轮齐射可打出爆炸伤害。触发时机：阶段四每次召唤物攻击时独立判定。「一万支箭中，只有一支能命中要害——但那一支已经足够了。」,red,,20|35,2,1,5,5,4,summon_arrowRain,2,0,0
summon_assaultDrill,突击钻头,所有召唤物集中攻击最前方{0}个怪物,summon_assaultDrill,召唤,放弃分散的火力，将全部力量汇聚于一点。阶段四召唤物攻击时→目标选择逻辑改变：不再各自攻击各自前方的怪物，而是选择距离玩家列最近的{0}个怪物作为共同目标→场上所有召唤物对选中的目标发动集中攻击→攻击顺序从最前方开始，目标死亡后自动切换至下一个目标，直到所有目标死亡或召唤物攻击次数耗尽。触发时机：阶段四攻击阶段，改目标选择与分配逻辑。「把所有力量汇聚于一点——没有哪个敌人能承受这样的打击。」,red,,1|2,2,1,5,5,4,summon_resonanceChain,2,0,0
summon_fortress,不落壁垒,召唤物在场时 玩家受到的所有伤害减免{0}%,summon_fortress,召唤,壁垒不只是保护自己，更是守护身后的人。阶段六回合收尾时进行全局判定→若场上存在至少1只存活召唤物→为玩家附加{0}%全伤害减免buff→减免范围包括怪物自爆伤害、技能伤害等所有来源→buff持续至下回合阶段六重新判定刷新。召唤物全灭后buff在下一次阶段六判定时消失。触发时机：阶段六回合收尾时判定并刷新。注意：若阶段五怪物已造成伤害，本回合的减免在下回合才会生效。「只要还有一堵墙立着，就没有人能伤到你。」,blue,,25|50,2,1,5,5,4,summon_guardianShield,2,0,0
summon_rebirth,涅槃重生,召唤物死于怪物碰撞后 有{0}%概率在下一回合原地复活,summon_rebirth,召唤,最坚固的盾不是永远不会碎——而是碎了也能重新凝结。当召唤物被怪物碰撞死亡（仅限碰撞，不含献祭/替换/自毁等其他死亡方式）→记录其死亡位置→阶段六回合收尾时→以{0}%概率在该位置重新生成1只同类型召唤物→重生召唤物满HP且继承原召唤物的buff与增益→若该位置已被其他召唤物或怪物占据则重生失败（概率判定后位置被占=浪费）。触发时机：碰撞死亡时记录坐标→阶段六收尾判定并重生。注意：重生不消耗召唤位，但也不能超过6只上限。「浴火的不是凤凰——是每一个不肯认输的灵魂。」,blue,,25|40,2,1,5,5,3,summon_lastStand,2,0,0
summon_vengefulFlame,复仇烈焰,每有1只召唤物死亡 下次新召唤物攻击力永久+{0},summon_vengefulFlame,召唤,每一次失去都让火焰烧得更旺。维护一个全局「复仇」计数器→每有1只召唤物死亡（不限原因：碰撞/献祭/替换/自毁）→复仇层数+1→下一次生成新召唤物时→消耗当前所有复仇层数→新召唤物基础攻击力永久+{0}×层数→层数消耗后清零，重新累积。复仇层数无上限，可以攒到关键时刻一次性爆发。触发时机：任意阶段死亡时+1→阶段三/阶段六生成召唤物时消耗。注意：加成绑定于新生成的召唤物，已存在的召唤物不受影响。「每一滴战士的血都不会白流——它们会化作后来者的力量。」,red,,1|2,2,1,5,5,3,summon_martyrSoul,2,0,0
summon_soulLink,灵魂链接,召唤物在场时 召唤物分担玩家受到的{0}%伤害,summon_soulLink,召唤,链接的灵魂，同甘共苦。阶段五怪物到达玩家列自爆/其他来源对玩家造成伤害时→伤害结算前进行判定→若场上存在至少1只存活召唤物→玩家本应受到的伤害中{0}%转由场上召唤物平摊承受→召唤物按各自当前HP比例分担→HP降至0的召唤物死亡并触发对应死亡效果。触发时机：阶段五玩家受伤害前判定与分担。注意：分担伤害可能导致多只召唤物同时死亡，连锁触发死亡相关词条。「把你的重量分我一半——这就是战友的意义。」,yellow,,20|35,2,1,5,5,4,summon_blessingAura,2,0,0
summon_bindRune,束缚符文,场上每有1只召唤物 所有怪物移动速度-{0}格,summon_bindRune,召唤,当它们的数量增加，敌人的脚步就沉重一分。阶段五怪物移动前→统计场上存活召唤物数量→每1只召唤物使所有怪物本回合移动格数-{0}→效果向下累加，但怪物移动最低不低于1格（不会完全静止）。6只满编时怪物移动格数-{0}×6，大幅减缓推进速度。触发时机：阶段五怪物移动前全局判定，仅影响本回合移动。与麻痹回响的减速效果可叠加。「它们织成一张无声的网，越是挣扎，网就越紧。」,green,,1|2,2,1,5,5,4,summon_paralyzeEcho,2,0,0
