identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
mass_rowClean,音浪清除,消除≥{0}格清除一行怪物,mass_rowClean,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，对任意一行上的所有怪物造成全额伤害。",yellow,0,14|12|10,3,1,5,5,4,mass_cascadeShock,2,0,0
mass_weakenCharm,虚弱魔音,消除≥{0}格使怪物攻击力减半,mass_weakenCharm,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，削弱命中怪物，使其下回合造成的伤害减半。",blue,0,10|8|6,3,1,4,4,5,mass_scaleForce,3,0,0
mass_doubleWave,双波齐鸣,消除≥{0}格发射两道音波,mass_doubleWave,多,"阶段二·伤害结算时触发。单次连线消除格数达到阈值时，同时向右侧发射两道音波，每道独立计算伤害。",yellow,0,12|10|8,3,1,5,5,4,mass_overload,2,0,0
mass_afterShock,余震延音,消除≥{0}格后下回合追加30%伤害,mass_afterShock,多,"阶段六·回合收尾时记录。若本回合有单次连线消除格数达到阈值，下回合音波攻击额外追加30%伤害。",blue,0,10|8|6,3,1,4,4,6,mass_overload,3,0,0
mass_sameCall,同色呼唤,消除后同色音符出现率+{0}%,mass_sameCall,多,"阶段六·回合收尾时触发。每次消除后，被消除颜色的音符在下一回合的出现率额外提升。",yellow,0,10|15|20,3,1,4,4,7,mass_colorCall,2,0,0
mass_mergeFate,同聚合鸣,相邻同色音符概率自动合并,mass_mergeFate,多,"阶段六·回合收尾时触发。棋盘刷新时，相邻同色音符有{0}%概率自动合并为已连线状态，扩大初始连线可能。",blue,0,20|35|50,3,1,4,4,6,,,0,0
mass_expandReach,扩展音域,未消除时扩大{0}格连线范围,mass_expandReach,多,"阶段一·玩家操作时被动生效。当棋盘上没有可消除的连线时，扩大你的连线判定范围，使原本不相邻的同色音符可以被连接。",yellow,0,1|2|3,3,1,4,4,7,,,0,0
mass_colorShift,音色转换,右键任意音符将相邻{0}个转为同色,mass_colorShift,多,"阶段一·玩家操作时使用。右键点击任意音符，将其周围指定数量的音符转换为点击音符的颜色，每回合限1次。",blue,0,2|3|4,3,1,5,5,6,mass_sameCall,2,0,0
mass_rainbowDrop,彩虹坠音,彩虹音符出现率+{0}%,mass_rainbowDrop,多,"阶段六·回合收尾时触发。永久提升万能彩虹音符在棋盘上的出现概率，彩虹音符可匹配任意颜色参与连线。",yellow,0,2|4|6,3,1,4,4,5,mass_colorCall,3,0,0
mass_gridAlign,棋盘对齐,消除后棋盘重排优先聚集同色,mass_gridAlign,多,"阶段六·回合收尾时触发。消除后棋盘重新填充时，有{0}%概率将同色音符优先放置在相邻位置。",blue,0,20|40|60,3,1,4,4,6,mass_colorCall,2,0,0
mass_clusterForce,音簇引力,同色音符趋向聚集概率+{0}%,mass_clusterForce,多,"阶段六·回合收尾时触发。棋盘刷新时，同色音符自动向彼此靠近的概率提升，增加自然形成大连线的机会。",yellow,0,15|25|35,3,1,4,4,5,,,0,0
mass_twinSpark,双子火花,回合开始棋盘出现{0}对相邻同色音符,mass_twinSpark,多,"阶段六·回合收尾时触发。下回合开始时，棋盘上自动生成指定数量的相邻同色音符对，提供天然连线起点。",blue,0,1|2|3,3,1,5,5,4,mass_clusterForce,2,0,0
