identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
uni_thorns,荆棘反伤,受到攻击反弹{0}%伤害,uni_thorns,通用,"阶段二/阶段五时触发：受到怪物攻击或自爆伤害时，将所受伤害的{0}%反弹给攻击来源。",blue,,20|35|50,3,1,5,4,6,uni_resilience,1,0,0
uni_lastStand,背水一战,HP<{0}时伤害+{1}%减伤+{2}%,uni_lastStand,通用,"阶段二至阶段五全程生效：当玩家HP低于{0}点时，所有攻击伤害增加{1}%，同时受到的所有伤害减少{2}%。HP恢复至阈值以上后效果消失。",blue,,"2,40,25|3,55,35|4,75,50",3,1,5,4,5,uni_resilience,2,0,0
uni_killHeal,猎命,击败怪物恢复{0}HP,uni_killHeal,通用,"阶段二伤害结算时触发：当击败怪物时，立即恢复{0}点HP。每回合最多触发3次。",blue,,1|2|3,3,1,5,4,6,uni_regen,1,0,0
uni_revive,起死回生,死亡时{0}%概率复活,uni_revive,通用,"任意阶段触发：当玩家HP降至0（即将死亡）时，有{0}%概率触发复活，复活后HP恢复至1点。每场战斗最多触发1次。",blue,,30|50|70,3,1,6,5,3,uni_lastStand,2,0,0
uni_shieldStart,回合护盾,回合开始时获得{0}护盾,uni_shieldStart,通用,"阶段六/阶段一交接时触发：每个回合开始时，自动获得{0}点护盾值。护盾优先抵扣伤害。",blue,,1|2|3,3,1,4,3,7,uni_hpBoost,1,0,0
uni_reshuffle,洗牌术,每{0}回合免费洗牌1次,uni_reshuffle,通用,"阶段一玩家操作前：每{0}个回合可获得1次免费重新洗牌机会（无需消耗金币）。使用次数可累计，最多保存2次。",green,,5|3|2,3,1,3,3,8,,,0,0
uni_extraAction,额外行动,回合结束{0}%概率额外行动,uni_extraAction,通用,"阶段六回合收尾时触发：回合完全结束后，有{0}%概率获得一次额外行动机会。额外行动可执行一次消除操作。",green,,15|25|35,3,1,5,4,6,uni_reshuffle,1,0,0
uni_moreChoices,更多选择,奖励选择数+{0},uni_moreChoices,通用,"阶段六商店结算/战斗奖励时触发：获得战斗奖励或购买词条时，可选词条数量增加{0}个。",green,,1|2,2,1,4,4,7,uni_reshuffle,1,0,0
uni_boardExpand,棋盘扩展,棋盘行数+{0},uni_boardExpand,通用,"阶段一玩家操作时生效：棋盘的可操作行数增加{0}行，提供更多连线可能。永久生效。",green,,1|2,2,1,5,4,5,uni_reshuffle,2,0,0
uni_qualityUp,品质提升,奖励稀有度提升{0}档,uni_qualityUp,通用,"阶段六商店结算/战斗奖励时触发：获得的奖励词条稀有度等级提升{0}个档次（普通→稀有→史诗→传说）。",green,,1|2,2,1,4,4,6,uni_moreChoices,1,0,0
uni_doubleReward,双倍奖励,{0}%概率奖励翻倍,uni_doubleReward,通用,"阶段六商店结算/战斗奖励时触发：获得金币或词条奖励时，有{0}%概率获得双倍数量。",green,,15|30|50,3,1,6,5,4,uni_qualityUp,2,0,0
uni_luckyDrop,幸运掉落,额外掉落概率+{0}%,uni_luckyDrop,通用,"阶段二伤害结算时触发：击败怪物时，有{0}%额外概率掉落金币或临时增益道具（独立于基础掉落率）。",green,,15|30|50,3,1,5,4,5,uni_moreChoices,1,0,0
uni_freeUpgrade,免费升级,{0}%概率免费升级词条,uni_freeUpgrade,通用,"阶段六商店结算时触发：在商店升级词条时，有{0}%概率不消耗金币完成升级。",green,,10|20|35,3,1,5,4,6,uni_qualityUp,1,0,0
