identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,available,buyPrice,upgradePrice,weight,unlock,unlockLevel,changeToRune,shape
addDamageWhenPass,Resonant,"When this wave passes a tile of the same color, its damage increases by {0}%",addDamageWhenPass,攻击|多,"When this wave passes a tile of the same color, its damage increases by {0}%",red,,30|50,1,3,3,10,,4,,1
moreTileMoreDamage,Scale,Waves with over 5 tiles gain +{0}% damage per extra tile.,moreTileMoreDamage,多|攻击,{0}% base damage × tiles used.,red,,10|20,1,3,3,10,,6,,1
encourageMoreTiles,Mega Wave,Waves formed from more than {0} tiles deal +100% damage.,encourageMoreTiles,多|攻击,Waves formed from more than {0} tiles deal +150% damage.,yellow,,11|9,1,3,3,10,,2,,1
All or Nothing,All or Nothing,"Waves formed from more than {0} tiles deal +100% damage, otherwise deal 50% damage",allOrNothing,多|攻击,,red,,9|7,1,3,3,10,,3,,1
recreateSameColor,recreateSameColor,"When create wave over {0}, create another biggest wave with the same color",recreateSameColor,多|连击,,red,,10|8,1,3,3,10,,,,
recreateDifferentColor,recreateDifferentColor,"If last wave generated was the same color, create biggest wave with a different color",recreateDifferentColor,多|连击,,blue,,,1,3,3,10,,,,
recreateSameColorOnKill,recreateSameColorOnKill,"On direct kill, create another wave from the largest same-color group.",recreateSameColorOnKill,多|连击,,yellow,,,1,3,3,10,,,,
hitSameIncreaseDamage,hitSameIncreaseDamage,Repeated hits on the same enemy gain +{0}% damage each time.,hitSameIncreaseDamage,多|攻击,,green,,20,1,3,3,10,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,,,,1
spawnAlly,Summon,Spawn ally (HP = {0}% total wave dmg).,spawnAlly,召唤,Spawn an ally on the grid with HP equal to {0}% of the total damage of this wave.,yellow,,20|40,1,3,3,10,,2,,1
summonAttack,Ally Volley,"All allies fire forward, dealing damage equal to the wave’s damage.",summonAttack,召唤|攻击,"All allies fire forward, dealing damage equal to the wave’s damage.",blue,,,1,3,3,10,spawnAlly,,,1
,,"For each ally on board, wave damage increase {0}% of the ally's hp",,召唤,,,,100,,,,10,,,,1
,, +{0}% damage for each ally,,召唤,,,,20|30,,,,10,,,,1
,,All allies max hp increase {0}%,,召唤,,,,,,,,10,,,,1
,,生成的wave与召唤物相邻时，召唤物所在的格子也会变成相同颜色并被消除,,召唤|多,,,,,,,,10,,,,1
,,生成的wave与召唤物相邻时，召唤物所在的格子会另外独立被消除（这个和上面那个应该互斥）,,召唤|少,,,,,,,,,,,,
,,召唤物死亡时，本场战斗攻击力+{0}%,,召唤|攻击,,,,,,,,,,,,
,,召唤物死亡时对全场怪物造成{0}点伤害,,召唤|攻击,,,,,,,,,,,,
,,所有召唤物向前移动，并对同列敌人造成伤害,,召唤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
noAttackNoCost,Slip,"If this wave deals no damage, you can immediately move again (once per turn).",noAttackNoCost,少,"If this wave deals no damage, you can immediately move again (once per turn).",red,,,1,4,4,10,,6,,1
less,Color Drought, -{0}% spawn chance.,less,少,This color tile has {0}% lower chance to appear.,green,,30|50|80,1,3,3,10,,4,,1
pure,Solo,1-tile wave +{0}% damage.,pure,少,"If a wave is generated from only one tile, it deals +{0}% damage.",red,,150|200,1,3,3,10,,6,,1
,,1-tile wave applies a mark. Multi-tile waves deal double damage to marked enemies.,,少,,,,,,,,10,,,,1
,,1-tile wave remove all tiles of the same color on board,,少,,,,,,,,10,,,,1
,,1-tile wave generate a rainbow tile on the position,,少,,,,,,,,,,,,
,,1-tile wave stun enemy for a turn,,少,,,,,,,,,,,,
buffNextDamage,Next Boost,Next wave +{0}% damage.,buffNextDamage,下一次攻击|少,,blue,,50|100,1,3,3,10,,,,1
,,1- tile wave do damage to the full column when hit enemy,,少,,,,,,,,,,,,
,,convert {0} tile of the same color to a different color,,少,,,,5,,,,,,,,
,,1-tile wave has {0}% chance to kill the enemy(not work on boss),,少,,,,20,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,,,,1
,,,,,,,,,,,,10,,,,1
shieldWhenHit,Barrier,Shield {0}% of damage dealt.,shieldWhenHit,护盾,,,,10|20,1,3,3,10,,,,1
shieldWhenPass,Harmony,"When this wave passes a tile of the same color, shield {0}% of max HP",shieldWhenPass,护盾|多,"When this wave passes a tile of the same color, shield {0}% of max HP",yellow,,3|5,1,3,3,10,,4,,1
shieldWhenSpawn,Territorial Bastion,Shield {0}% HP × tiles used.,shieldWhenSpawn,多|护盾,"for each tile used to generate wave, shield {0}% hp",,,3|5,1,3,3,10,,3,,1
soloShield,Snap-Shield,1-tile wave shield {0}% of HP,soloShield,少|护盾,,blue,,20|40,1,3,3,10,,5,,1
shieldBuff,Shielded Strike,This tile's damage increase {0}% of shield value,shieldBuff,护盾|攻击,,green,,30|50,1,3,3,10,,6,,1
shieldExplosion,Shield Burst,"When this wave generate, consume all shield and do {0}% of current shield value to all enemies and ",shieldExplosion,护盾|爆发,,red,,30|50,1,3,3,10,,6,,1
,,护盾值满时，音波伤害提升{0}%,,护盾,,,,,,,,10,,,,1
,,生成的护盾的{0}%在下回合产生等量回响护盾,,护盾,,,,,,,,,,,,
,,之后的两回合护盾获取量+{0}%,,护盾,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
特殊,,,,,,,,,,,,10,,,,1
hitEnemyBack,Push Back,Push back {0} tiles.,hitEnemyBack,击退,"When this wave hits an enemy, push it back {0} tiles.",red,,1,1,3,3,10,,,,1
wavePenetrate,Pierce,Penetrate {0} enemies.,wavePenetrate,穿透,This wave can penetrate {0} additional enemies.,red,,1|2,1,3,3,10,,2,,1
frontAndBack,Backflow,Wave moves both forward and backward.,frontAndBack,前后,,yellow,,1,1,3,3,10,,2,,1
,,convert a random tile to rainbow on kill,,击杀|彩虹,,,,,,,,10,,,,
bounty,Bounty, +{0} gold on kill.,bounty,钱|击杀,Killing an enemy with this color grants {0} gold.,red,,1,1,6,3,10,,7,,1
,, +{0} base damage in this battle on kill,,击杀,,,,,,,,10,,,,1
,,,,,,,,,,,,,,,,
待定,,,,,,,,,,,,,,,,
bounceRandom,bounceRandom,{0}% of Overkill Damage bounces to a random enemy.,bounceRandom,攻击,,blue,,100,0,,,10,,,,
,,,,,,,,,,,,10,,,,1
,,,,毒,,,,,,,,10,,,,1
,,如果击中的敌人相邻没有敌人，向最近的敌人移动,,位移,,,,,,,,10,,,,1
,,,,,,,,,,,,10,,,,1
focus,Focus,"This wave will attack only the first enemy, damage increase {0}%",focus,专注？,"This wave will attack only the first enemy, damage increase {0}%",red,,100|200,,3,3,10,,,,1
target,Weakness,,,,"When this wave hits an enemy, apply {0} Vulnerable. Each stack increases all damage the enemy takes by 5%.",red,,,,3,3,10,,,,1
damageIncreaseWhenHitMore,damageIncreaseWhenHitMore,,damageIncreaseWhenHitMore,,"When hit multiple enemies with one wave, for each enemy hit, later one get {0} more damage",blue,,20|40,0,3,3,10,,,,1
quickMove,Quick Move,{0}% chance you can move gain,quickMove,,{0}% chance you can move gain,green,,30|50,,3,3,10,,,,1
damageBottom,damageBottom,"When hit the most right line, hit enemy on the whole right line with {0}% damage",damageBottom,,"When hit the most right line, hit enemy on the whole right line with {0}% damage",red,,100,0,3,3,10,,,,1
,,,,,,,,,,,,10,,,,1
,,,,,,,,,,,,10,,,,1
,,,,,,,,,,,,10,,,,1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
exchange,Exchange, +{0} swap on kill,exchange,交换|击杀,Killing an enemy with this color restores {0} exchange use.,red,,1|2,0,3,3,10,,4,,1
,,,,,,,,,,,,,,,,
,,空格符 - 本身无颜色，可以给周围的格子提升buff - 需要单独的这个么？还是和召唤物合并就好,,,,,,,,,,,,,,
